Progress,Duration..in.seconds.,Finished,TA_ID,S1,S2,S3,S4,S5,S6,S7,Eng,I1,I2,I3,I4,I5,I6,I7,inst,C1,C2,C3,C4,C5,course,St_Year,St_Gender,Gender_3_TEXT,St_Race,Race_9_TEXT,Race_7_TEXT,Int.l,first_gen,st_gen,st_race,ta_gen,ta_race,stem,aut_sup,lrn_env,aut_sup_c,lrnenv_c,course_c
100,215,1,69,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,,1,,,0,2,M,AmInd,W,B,N,4.071428571428571,3.5714285714285716,-0.7858826576868285,0.5150887190778399,0.9791893526923774
100,290,1,17,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,,1,,,0,1,M,AmInd,W,MR,Y,5.428571428571429,2.7142857142857144,0.5712601994560291,-0.3420541380650173,0.9791893526923774
100,220,1,80,5,5,5,6,6,6,6,5.571428571,6,6,6,6,5,5,6,5.714285714,6,6,6,6,6,6,4,0,,2,,,0,1,M,A,W,A,N,3.9285714285714284,2.7142857142857144,-0.9287398005439713,-0.3420541380650173,0.9791893526923774
100,189,1,43,4,6,6,6,6,6,6,5.714285714,6,5,5,6,6,6,6,5.714285714,6,6,6,6,6,6,1,0,,2,,,0,2,M,A,M,W,N,4.285714285714286,3.142857142857143,-0.5715969434011141,0.0865172905064111,0.9791893526923774
100,137,1,79,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,5.714285714,6,6,6,6,6,6,3,0,,2,,,0,1,M,A,M,W,N,4.642857142857143,2.857142857142857,-0.21445408625825646,-0.19919699520787448,0.9791893526923774
100,101001,1,43,6,5,6,6,6,6,6,5.857142857,6,6,6,6,5,6,6,5.857142857,6,6,6,6,6,6,1,0,,2,,,0,2,M,A,M,W,N,4.285714285714286,3.142857142857143,-0.5715969434011141,0.0865172905064111,0.9791893526923774
100,161,1,52,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,,2,,,0,2,M,A,W,W,N,3.9285714285714284,2.7142857142857144,-0.9287398005439713,-0.3420541380650173,0.9791893526923774
100,271,1,69,5,6,6,6,6,6,6,5.857142857,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,,2,,,0,2,M,A,W,B,N,4.071428571428571,3.5714285714285716,-0.7858826576868285,0.5150887190778399,0.9791893526923774
100,80,1,6,5,5,5,6,6,6,6,5.571428571,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,0,,2,,,0,2,M,A,W,MR,N,4.5,2.4285714285714284,-0.3573112291153997,-0.6277684237793033,0.9791893526923774
100,255,1,14,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,,2,,,0,2,M,A,M,LX,N,5.428571428571429,3.2857142857142856,0.5712601994560291,0.2293744333635539,0.9791893526923774
100,333,1,66,5,5,5,5,5,6,6,5.285714286,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,0,,2,,,1,2,M,A,M,W,Y,4.285714285714286,2.5714285714285716,-0.5715969434011141,-0.48491128092216007,0.9791893526923774
100,153,1,79,5,4,4,4,5,5,5,4.571428571,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,,2,,,0,2,M,A,M,W,N,4.642857142857143,2.857142857142857,-0.21445408625825646,-0.19919699520787448,0.9791893526923774
100,430,1,79,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,0,,2,,,0,2,M,A,M,W,N,4.642857142857143,2.857142857142857,-0.21445408625825646,-0.19919699520787448,0.9791893526923774
