country,gm_GNP,income,happy
France,0.8794,1,4
France,0.8794,2,2
France,0.8794,2,4
France,0.8794,5,3
France,0.8794,4,3
France,0.8794,2,3
France,0.8794,3,2
France,0.8794,6,4
France,0.8794,1,3
France,0.8794,5,3
France,0.8794,1,1
France,0.8794,7,3
France,0.8794,8,3
France,0.8794,6,3
France,0.8794,9,4
France,0.8794,0,3
France,0.8794,9,3
France,0.8794,0,3
France,0.8794,4,3
France,0.8794,1,3
France,0.8794,7,3
France,0.8794,9,4
France,0.8794,5,4
France,0.8794,3,4
France,0.8794,5,3
France,0.8794,3,3
France,0.8794,8,4
France,0.8794,1,3
France,0.8794,8,3
France,0.8794,2,3
France,0.8794,2,3
France,0.8794,6,4
France,0.8794,1,3
France,0.8794,8,3
France,0.8794,0,2
France,0.8794,5,4
France,0.8794,1,4
France,0.8794,7,4
France,0.8794,8,3
France,0.8794,0,2
France,0.8794,9,3
France,0.8794,5,4
France,0.8794,7,3
France,0.8794,9,3
France,0.8794,0,2
France,0.8794,9,3
France,0.8794,0,3
France,0.8794,2,3
France,0.8794,3,2
France,0.8794,3,3
France,0.8794,0,3
France,0.8794,8,4
France,0.8794,5,3
France,0.8794,8,3
France,0.8794,5,3
France,0.8794,2,4
France,0.8794,2,3
France,0.8794,3,3
France,0.8794,5,3
France,0.8794,7,4
France,0.8794,4,3
France,0.8794,3,2
France,0.8794,4,4
France,0.8794,6,4
France,0.8794,3,3
France,0.8794,1,4
France,0.8794,0,3
France,0.8794,2,3
France,0.8794,7,3
France,0.8794,2,3
France,0.8794,0,3
France,0.8794,3,3
France,0.8794,0,3
France,0.8794,7,4
France,0.8794,0,3
France,0.8794,1,3
France,0.8794,1,2
France,0.8794,4,4
France,0.8794,5,4
France,0.8794,2,3
France,0.8794,1,3
France,0.8794,1,4
France,0.8794,1,3
France,0.8794,9,3
France,0.8794,7,4
France,0.8794,5,3
France,0.8794,7,4
France,0.8794,6,4
France,0.8794,4,4
France,0.8794,1,4
France,0.8794,4,4
France,0.8794,9,4
France,0.8794,1,3
France,0.8794,8,3
France,0.8794,4,4
France,0.8794,5,4
France,0.8794,0,2
France,0.8794,5,4
France,0.8794,7,1
France,0.8794,2,3
France,0.8794,3,3
France,0.8794,9,3
France,0.8794,0,3
France,0.8794,9,3
France,0.8794,9,3
France,0.8794,8,3
France,0.8794,1,3
France,0.8794,5,3
France,0.8794,9,3
France,0.8794,2,3
France,0.8794,8,3
France,0.8794,0,1
France,0.8794,2,3
France,0.8794,0,4
France,0.8794,5,4
France,0.8794,4,3
France,0.8794,1,3
Uk,0.5404,9,4
Uk,0.5404,7,2
Uk,0.5404,1,4
Uk,0.5404,7,3
Uk,0.5404,9,4
Uk,0.5404,9,4
Uk,0.5404,0,3
Uk,0.5404,6,2
Uk,0.5404,3,3
Uk,0.5404,6,4
Uk,0.5404,4,3
Uk,0.5404,4,4
Uk,0.5404,7,2
Uk,0.5404,7,3
Uk,0.5404,7,3
Uk,0.5404,6,3
Uk,0.5404,8,3
Uk,0.5404,0,3
Uk,0.5404,0,4
Uk,0.5404,7,3
Uk,0.5404,1,3
Uk,0.5404,9,3
Uk,0.5404,9,2
Uk,0.5404,4,4
Uk,0.5404,5,3
Uk,0.5404,3,2
Uk,0.5404,6,3
Uk,0.5404,7,3
Uk,0.5404,6,4
Uk,0.5404,8,4
Uk,0.5404,9,3
Uk,0.5404,1,3
Uk,0.5404,4,3
Uk,0.5404,9,3
Uk,0.5404,9,4
Uk,0.5404,3,3
Uk,0.5404,5,3
Uk,0.5404,8,3
Uk,0.5404,9,4
Uk,0.5404,5,4
Uk,0.5404,9,4
Uk,0.5404,7,3
Uk,0.5404,9,4
Uk,0.5404,4,3
Uk,0.5404,7,3
Uk,0.5404,5,4
Uk,0.5404,8,3
Uk,0.5404,7,3
Uk,0.5404,3,4
Uk,0.5404,0,3
Uk,0.5404,9,3
Uk,0.5404,9,3
Uk,0.5404,1,4
Uk,0.5404,7,4
Uk,0.5404,9,3
Uk,0.5404,8,2
Uk,0.5404,6,4
Uk,0.5404,7,4
Uk,0.5404,8,4
Uk,0.5404,0,4
Uk,0.5404,2,3
Uk,0.5404,4,3
Uk,0.5404,6,3
Uk,0.5404,3,3
Uk,0.5404,4,3
Uk,0.5404,2,3
Uk,0.5404,8,4
Uk,0.5404,0,3
Uk,0.5404,9,3
Uk,0.5404,4,4
Uk,0.5404,0,3
Uk,0.5404,5,3
Uk,0.5404,3,3
Uk,0.5404,9,4
Uk,0.5404,9,3
Uk,0.5404,8,4
Uk,0.5404,5,3
Uk,0.5404,2,3
Uk,0.5404,9,2
Uk,0.5404,0,4
Uk,0.5404,3,3
Uk,0.5404,2,4
Uk,0.5404,9,1
Uk,0.5404,7,4
Uk,0.5404,4,3
Uk,0.5404,4,3
Uk,0.5404,5,4
Uk,0.5404,1,3
Uk,0.5404,2,3
Uk,0.5404,4,2
Uk,0.5404,7,4
Uk,0.5404,9,3
Uk,0.5404,7,4
Uk,0.5404,2,4
Uk,0.5404,6,4
Uk,0.5404,3,4
Uk,0.5404,6,3
Uk,0.5404,7,3
Uk,0.5404,2,3
Uk,0.5404,4,2
Uk,0.5404,2,3
Uk,0.5404,8,4
Uk,0.5404,3,2
Uk,0.5404,4,4
Uk,0.5404,8,4
Uk,0.5404,9,3
Uk,0.5404,0,2
Uk,0.5404,5,3
Uk,0.5404,3,3
Uk,0.5404,0,4
Uk,0.5404,3,3
Uk,0.5404,7,3
Uk,0.5404,9,3
Uk,0.5404,5,4
Uk,0.5404,2,3
Uk,0.5404,2,4
Uk,0.5404,5,4
Uk,0.5404,4,3
Uk,0.5404,1,4
Uk,0.5404,3,3
Uk,0.5404,2,4
Uk,0.5404,1,3
Uk,0.5404,1,2
Uk,0.5404,9,4
Uk,0.5404,5,3
Uk,0.5404,8,4
Uk,0.5404,2,3
Uk,0.5404,4,4
