"State","Expend","PTratio","Salary","PctSAT","SAT","PctACT","ACT"
"Alabama",4.405,17.2,31.144,8,1029,61,20.2
"Alaska",8.963,17.6,47.951,47,934,32,21
"Arizona",4.778,19.3,32.175,27,944,27,21.1
"Arkansas",4.459,7.1,28.934,6,1005,66,20.3
"California",4.992,24,41.078,45,902,11,21
"Colorado",5.443,18.4,34.571,29,980,62,21.5
"Connecticut",8.817,14.4,50.045,81,908,3,21.4
"Delaware",7.03,16.6,39.076,68,897,3,21
"Florida",5.718,19.1,32.588,48,889,36,20.4
"Georgia",5.193,16.3,32.291,65,854,16,20.2
"Hawaii",6.078,17.9,38.518,57,889,17,21.6
"Idaho",4.21,19.1,29.783,15,979,62,21.4
"Illinois",6.136,17.3,39.431,13,1048,69,21.2
"Indiana",5.826,17.5,36.785,58,882,19,21.2
"Iowa",5.483,15.8,31.511,5,1099,64,22.1
"Kansas",5.817,15.1,34.652,9,1060,74,21.7
"Kentucky",5.217,17,32.257,11,999,65,20.1
"Louisiana",4.761,16.8,26.461,9,1021,80,19.4
"Maine",6.428,13.8,31.972,68,896,2,21.5
"Maryland",7.245,17,40.661,64,909,11,20.7
"Massachusetts",7.287,14.8,40.795,80,907,6,21.6
"Michigan",6.994,20.1,41.895,11,1033,68,21.3
"Minnesota",6,17.5,35.948,9,1085,60,22.1
"Mississippi",4.08,17.5,26.818,4,1036,79,18.7
"Missouri",5.383,15.5,31.189,9,1045,64,21.5
"Montana",5.692,16.3,28.785,21,1009,55,21.9
"Nebraska",5.935,14.5,30.922,9,1050,73,21.7
"Nevada",5.16,18.7,34.836,30,917,39,21.3
"New Hampshire",5.859,15.6,34.72,70,935,4,22.3
"New Jersey",9.774,13.8,46.087,70,898,3,20.8
"New Mexico",4.586,17.2,28.493,11,1015,59,20.3
"New York",9.623,15.2,47.612,74,892,16,21.9
"North Carolina",5.077,16.2,30.793,60,865,11,19.3
"North Dakota",4.775,15.3,26.327,5,1107,78,21.4
"Ohio",6.162,16.6,36.802,23,975,60,21.3
"Oklahoma",4.845,15.5,28.172,9,1027,66,20.6
"Oregon",6.436,19.9,38.555,51,947,12,22.3
"Pennsylvania",7.109,17.1,44.51,70,880,8,21
"Rhode Island",7.469,14.7,40.729,70,888,2,21.4
"South Carolina",4.797,16.4,30.279,58,844,13,18.9
"South Dakota",4.775,14.4,25.994,5,1068,68,21.3
"Tennessee",4.388,18.6,32.477,12,1040,83,19.7
"Texas",5.222,15.7,31.223,47,893,30,20.2
"Utah",3.656,24.3,29.082,4,1076,69,21.5
"Vermont",6.75,13.8,35.406,68,901,7,21.9
"Virginia",5.327,14.6,33.987,65,896,6,20.7
"Washington",5.906,20.2,36.151,48,937,16,22.4
"WestVirginia",6.107,14.8,31.944,17,932,57,20
"Wisconsin",6.93,15.9,37.746,9,1073,64,22.3
"Wyoming",6.16,14.9,31.285,10,1001,70,21.4
